Store ID,SKU ID,Total Visits,Transactions,Revenue
Store_1,SKU_1,606,573,74688.67
Store_1,SKU_2,695,27,1390.6
Store_1,SKU_3,389,285,50679.63
Store_1,SKU_4,689,505,16764.34
Store_1,SKU_5,522,230,41928.4
Store_1,SKU_6,434,376,50030.98
Store_1,SKU_7,682,627,48271.53
Store_1,SKU_8,308,197,21087.27
Store_1,SKU_9,698,317,16547.55
Store_1,SKU_10,868,233,17276.22
Store_1,SKU_11,876,373,19233.82
Store_1,SKU_12,521,232,20121.1
Store_1,SKU_13,879,496,28888.99
Store_1,SKU_14,317,294,30716.3
Store_1,SKU_15,162,100,6411.97
Store_1,SKU_16,130,112,21902.37
Store_1,SKU_17,269,53,862.82
Store_1,SKU_18,785,224,29237.99
Store_1,SKU_19,687,129,14303.21
Store_1,SKU_20,779,671,77198.34
Store_2,SKU_1,296,202,16207.34
Store_2,SKU_2,450,254,41299.52
Store_2,SKU_3,886,883,173818.9
Store_2,SKU_4,956,510,13849.08
Store_2,SKU_5,658,200,14189.64
Store_2,SKU_6,375,348,60234.68
Store_2,SKU_7,813,402,58337.6
Store_2,SKU_8,560,146,11131.99
Store_2,SKU_9,760,488,68943.75
Store_2,SKU_10,689,550,103388.28
Store_2,SKU_11,690,472,23469.54
Store_2,SKU_12,464,297,17525.65
Store_2,SKU_13,813,143,23633.93
Store_2,SKU_14,621,1,199.29
Store_2,SKU_15,303,139,16134.53
Store_2,SKU_16,209,8,503.88
Store_2,SKU_17,708,207,37353.35
Store_2,SKU_18,201,53,8383.35
Store_2,SKU_19,969,627,16293.59
Store_2,SKU_20,469,421,57722.37
Store_3,SKU_1,303,226,18245.82
Store_3,SKU_2,522,98,19109.62
Store_3,SKU_3,963,895,60877.12
Store_3,SKU_4,755,162,21687.37
Store_3,SKU_5,730,160,2149.49
Store_3,SKU_6,447,276,12137.46
Store_3,SKU_7,553,391,66998.81
Store_3,SKU_8,450,127,14983.29
Store_3,SKU_9,509,442,35300.77
Store_3,SKU_10,424,21,1183.52
Store_3,SKU_11,87,50,8974.44
Store_3,SKU_12,332,26,4186.37
Store_3,SKU_13,847,608,72723.94
Store_3,SKU_14,530,452,24288.31
Store_3,SKU_15,865,658,78091.96
Store_3,SKU_16,241,48,877.67
Store_3,SKU_17,221,219,21744.39
Store_3,SKU_18,95,5,401.65
Store_3,SKU_19,794,36,6709.7
Store_3,SKU_20,546,301,58292.99
Store_4,SKU_1,148,115,7583.71
Store_4,SKU_2,977,160,11234.43
Store_4,SKU_3,177,17,1968.47
Store_4,SKU_4,784,565,80368.8
Store_4,SKU_5,921,685,19497.52
Store_4,SKU_6,337,150,5492.39
Store_4,SKU_7,204,129,9195.72
Store_4,SKU_8,153,136,19512.19
Store_4,SKU_9,225,38,2499.73
Store_4,SKU_10,808,537,88025.87
Store_4,SKU_11,970,407,74690.89
Store_4,SKU_12,555,35,5658.66
Store_4,SKU_13,370,263,37707.28
Store_4,SKU_14,449,141,25253.24
Store_4,SKU_15,520,142,11553.23
Store_4,SKU_16,883,799,95778.71
Store_4,SKU_17,903,50,4923.18
Store_4,SKU_18,624,189,12179.7
Store_4,SKU_19,363,57,900.32
Store_4,SKU_20,741,681,113246.29
Store_5,SKU_1,103,59,4251.76
Store_5,SKU_2,313,52,3202.84
Store_5,SKU_3,669,4,387.52
Store_5,SKU_4,823,349,39339.51
Store_5,SKU_5,872,819,28846.52
Store_5,SKU_6,419,123,17930.09
Store_5,SKU_7,708,656,56269.04
Store_5,SKU_8,836,603,91274.97
Store_5,SKU_9,395,228,10265.33
Store_5,SKU_10,879,790,72190.0
Store_5,SKU_11,957,640,27472.59
Store_5,SKU_12,562,95,10863.54
Store_5,SKU_13,609,600,81262.5
Store_5,SKU_14,934,896,171516.27
Store_5,SKU_15,753,446,41378.92
Store_5,SKU_16,910,246,4690.25
Store_5,SKU_17,203,143,5740.42
Store_5,SKU_18,135,28,897.51
Store_5,SKU_19,118,46,815.97
Store_5,SKU_20,799,452,45242.05
Store_6,SKU_1,267,38,2880.32
Store_6,SKU_2,303,221,29494.0
Store_6,SKU_3,811,521,99165.94
Store_6,SKU_4,149,33,1965.8
Store_6,SKU_5,955,761,142575.56
Store_6,SKU_6,657,324,45344.81
Store_6,SKU_7,65,23,4354.81
Store_6,SKU_8,307,159,29994.36
Store_6,SKU_9,713,689,81949.48
Store_6,SKU_10,594,426,80462.16
Store_6,SKU_11,884,576,110952.7
Store_6,SKU_12,891,42,1982.41
Store_6,SKU_13,446,11,320.63
Store_6,SKU_14,947,252,7041.93
Store_6,SKU_15,84,80,10766.98
Store_6,SKU_16,654,601,44905.92
Store_6,SKU_17,164,104,10841.7
Store_6,SKU_18,875,500,38091.98
Store_6,SKU_19,124,28,488.47
Store_6,SKU_20,778,276,53499.92
Store_7,SKU_1,725,393,35550.58
Store_7,SKU_2,969,191,22810.3
Store_7,SKU_3,148,35,2823.92
Store_7,SKU_4,145,36,1992.0
Store_7,SKU_5,744,524,78905.32
Store_7,SKU_6,916,872,71302.12
Store_7,SKU_7,930,61,6365.14
Store_7,SKU_8,778,341,22693.78
Store_7,SKU_9,68,48,967.79
Store_7,SKU_10,494,232,39662.07
Store_7,SKU_11,314,283,53914.83
Store_7,SKU_12,433,51,6066.61
Store_7,SKU_13,416,143,13614.26
Store_7,SKU_14,148,139,10070.03
Store_7,SKU_15,940,468,71581.14
Store_7,SKU_16,200,143,22883.92
Store_7,SKU_17,158,41,7999.39
Store_7,SKU_18,447,222,4576.65
Store_7,SKU_19,212,74,2385.96
Store_7,SKU_20,637,8,1237.5
Store_8,SKU_1,541,252,42666.46
Store_8,SKU_2,223,140,7320.53
Store_8,SKU_3,442,433,77706.36
Store_8,SKU_4,243,4,430.13
Store_8,SKU_5,471,338,40711.43
Store_8,SKU_6,414,320,56725.89
Store_8,SKU_7,706,510,93055.52
Store_8,SKU_8,350,131,10026.93
Store_8,SKU_9,301,274,43198.27
Store_8,SKU_10,231,166,15039.96
Store_8,SKU_11,907,530,16497.59
Store_8,SKU_12,500,172,2091.04
Store_8,SKU_13,269,125,2587.2
Store_8,SKU_14,525,455,14710.14
Store_8,SKU_15,410,0,0.0
Store_8,SKU_16,397,189,16262.0
Store_8,SKU_17,557,368,9475.76
Store_8,SKU_18,978,933,86679.25
Store_8,SKU_19,107,43,8419.45
Store_8,SKU_20,222,60,4278.62
Store_9,SKU_1,129,117,21724.82
Store_9,SKU_2,813,228,13239.53
Store_9,SKU_3,708,531,12920.59
Store_9,SKU_4,96,48,6825.23
Store_9,SKU_5,464,0,0.0
Store_9,SKU_6,935,258,46754.77
Store_9,SKU_7,61,9,1715.2
Store_9,SKU_8,407,155,11435.19
Store_9,SKU_9,171,91,12094.01
Store_9,SKU_10,697,315,38081.82
Store_9,SKU_11,781,40,2375.62
Store_9,SKU_12,972,501,8086.16
Store_9,SKU_13,250,160,14100.68
Store_9,SKU_14,510,219,13464.55
Store_9,SKU_15,958,557,13634.29
Store_9,SKU_16,439,81,7222.08
Store_9,SKU_17,758,449,11549.27
Store_9,SKU_18,847,241,27667.21
Store_9,SKU_19,54,32,5047.82
Store_9,SKU_20,195,176,14358.15
Store_10,SKU_1,331,62,5249.42
Store_10,SKU_2,876,794,93791.63
Store_10,SKU_3,978,609,10350.66
Store_10,SKU_4,560,384,4837.51
Store_10,SKU_5,872,517,73117.11
Store_10,SKU_6,758,644,128388.48
Store_10,SKU_7,486,22,3434.37
Store_10,SKU_8,726,713,122231.73
Store_10,SKU_9,194,84,8030.68
Store_10,SKU_10,927,0,0.0
Store_10,SKU_11,766,445,78703.56
Store_10,SKU_12,537,33,2575.68
Store_10,SKU_13,121,38,5228.76
Store_10,SKU_14,723,437,68495.6
Store_10,SKU_15,940,305,52433.92
Store_10,SKU_16,103,4,107.19
Store_10,SKU_17,812,400,14185.16
Store_10,SKU_18,352,206,32771.92
Store_10,SKU_19,959,577,94027.05
Store_10,SKU_20,152,37,4644.86
Store_11,SKU_1,899,797,91985.73
Store_11,SKU_2,484,446,66014.88
Store_11,SKU_3,298,165,15786.04
Store_11,SKU_4,384,29,3717.7
Store_11,SKU_5,612,80,15232.71
Store_11,SKU_6,949,137,25489.08
Store_11,SKU_7,379,272,16066.07
Store_11,SKU_8,118,33,4222.45
Store_11,SKU_9,499,204,10145.91
Store_11,SKU_10,92,74,1806.64
Store_11,SKU_11,810,662,22725.61
Store_11,SKU_12,144,117,16679.15
Store_11,SKU_13,949,359,51098.37
Store_11,SKU_14,330,194,34167.35
Store_11,SKU_15,716,92,17929.97
Store_11,SKU_16,110,50,888.25
Store_11,SKU_17,54,17,1069.85
Store_11,SKU_18,878,533,14312.91
Store_11,SKU_19,562,232,18012.1
Store_11,SKU_20,95,33,1137.25
Store_12,SKU_1,779,72,1982.54
Store_12,SKU_2,96,85,2170.41
Store_12,SKU_3,399,106,19606.37
Store_12,SKU_4,622,336,21035.87
Store_12,SKU_5,306,7,1065.19
Store_12,SKU_6,302,179,8909.97
Store_12,SKU_7,688,55,5613.27
Store_12,SKU_8,523,27,2162.53
Store_12,SKU_9,265,153,2596.38
Store_12,SKU_10,361,6,843.37
Store_12,SKU_11,968,749,114167.89
Store_12,SKU_12,557,273,25937.28
Store_12,SKU_13,788,14,418.95
Store_12,SKU_14,680,484,21602.83
Store_12,SKU_15,88,56,9505.15
Store_12,SKU_16,135,125,4094.35
Store_12,SKU_17,194,12,1473.39
Store_12,SKU_18,629,393,62857.42
Store_12,SKU_19,158,145,3844.65
Store_12,SKU_20,160,33,3827.04
Store_13,SKU_1,985,368,43146.94
Store_13,SKU_2,603,424,31424.72
Store_13,SKU_3,741,281,35247.37
Store_13,SKU_4,492,439,45948.84
Store_13,SKU_5,790,376,20707.48
Store_13,SKU_6,711,276,10775.93
Store_13,SKU_7,552,515,88402.49
Store_13,SKU_8,495,317,51707.24
Store_13,SKU_9,713,136,3433.24
Store_13,SKU_10,292,30,2639.26
Store_13,SKU_11,597,222,40039.02
Store_13,SKU_12,517,74,12909.03
Store_13,SKU_13,695,117,6903.18
Store_13,SKU_14,553,440,64463.03
Store_13,SKU_15,764,391,39318.06
Store_13,SKU_16,222,43,2105.48
Store_13,SKU_17,459,117,16974.47
Store_13,SKU_18,773,224,33574.68
Store_13,SKU_19,189,46,6641.19
Store_13,SKU_20,703,319,8480.66
Store_14,SKU_1,943,138,25817.42
Store_14,SKU_2,894,258,5120.39
Store_14,SKU_3,739,9,1028.11
Store_14,SKU_4,699,171,8264.22
Store_14,SKU_5,217,129,3443.65
Store_14,SKU_6,368,100,1051.51
Store_14,SKU_7,826,549,48449.13
Store_14,SKU_8,655,94,17541.39
Store_14,SKU_9,367,235,20590.34
Store_14,SKU_10,934,375,74353.73
Store_14,SKU_11,979,587,48165.36
Store_14,SKU_12,562,295,43395.49
Store_14,SKU_13,621,348,12721.75
Store_14,SKU_14,922,228,11014.5
Store_14,SKU_15,847,290,11951.05
Store_14,SKU_16,54,18,2454.97
Store_14,SKU_17,459,61,4768.85
Store_14,SKU_18,798,41,3467.15
Store_14,SKU_19,345,327,30553.45
Store_14,SKU_20,575,421,47387.09
Store_15,SKU_1,624,142,17000.58
Store_15,SKU_2,194,193,21862.08
Store_15,SKU_3,665,103,13246.34
Store_15,SKU_4,996,197,37147.92
Store_15,SKU_5,440,178,13106.51
Store_15,SKU_6,497,14,2477.15
Store_15,SKU_7,338,230,27346.69
Store_15,SKU_8,206,37,5659.39
Store_15,SKU_9,460,438,16291.11
Store_15,SKU_10,245,85,12382.13
Store_15,SKU_11,566,117,19426.55
Store_15,SKU_12,208,46,7857.99
Store_15,SKU_13,265,183,19294.57
Store_15,SKU_14,697,260,26626.06
Store_15,SKU_15,373,331,51853.66
Store_15,SKU_16,460,94,11628.19
Store_15,SKU_17,981,291,42507.54
Store_15,SKU_18,332,68,11362.24
Store_15,SKU_19,303,37,1968.28
Store_15,SKU_20,72,46,2976.5
Store_16,SKU_1,412,395,72384.52
Store_16,SKU_2,665,209,26370.85
Store_16,SKU_3,672,615,108057.68
Store_16,SKU_4,509,491,57631.27
Store_16,SKU_5,373,132,24456.28
Store_16,SKU_6,889,126,4911.78
Store_16,SKU_7,653,377,8706.85
Store_16,SKU_8,100,28,834.59
Store_16,SKU_9,346,213,38985.47
Store_16,SKU_10,818,813,44570.41
Store_16,SKU_11,395,109,4948.71
Store_16,SKU_12,874,0,0.0
Store_16,SKU_13,616,370,45266.66
Store_16,SKU_14,710,430,8774.03
Store_16,SKU_15,186,179,28582.73
Store_16,SKU_16,715,574,50945.87
Store_16,SKU_17,651,74,13716.82
Store_16,SKU_18,952,209,21184.04
Store_16,SKU_19,396,16,1944.69
Store_16,SKU_20,925,762,28013.28
Store_17,SKU_1,713,24,2512.56
Store_17,SKU_2,759,500,91910.36
Store_17,SKU_3,226,28,3368.73
Store_17,SKU_4,711,665,8304.48
Store_17,SKU_5,518,48,2103.69
Store_17,SKU_6,133,104,3977.58
Store_17,SKU_7,679,341,8939.8
Store_17,SKU_8,750,359,37844.72
Store_17,SKU_9,818,735,16717.23
Store_17,SKU_10,264,210,16040.54
Store_17,SKU_11,719,284,36563.7
Store_17,SKU_12,526,285,48149.98
Store_17,SKU_13,68,17,1119.76
Store_17,SKU_14,420,174,19184.03
Store_17,SKU_15,551,112,9648.24
Store_17,SKU_16,727,643,28656.16
Store_17,SKU_17,974,54,10247.14
Store_17,SKU_18,849,777,47740.04
Store_17,SKU_19,927,161,14113.18
Store_17,SKU_20,136,54,2142.13
Store_18,SKU_1,227,134,18116.2
Store_18,SKU_2,882,312,16278.51
Store_18,SKU_3,492,254,3491.23
Store_18,SKU_4,103,100,4392.35
Store_18,SKU_5,658,603,33318.6
Store_18,SKU_6,467,290,16298.79
Store_18,SKU_7,127,31,5350.05
Store_18,SKU_8,540,451,85436.47
Store_18,SKU_9,231,212,18489.48
Store_18,SKU_10,872,6,781.89
Store_18,SKU_11,722,150,25671.65
Store_18,SKU_12,673,380,67079.26
Store_18,SKU_13,334,187,26881.21
Store_18,SKU_14,946,814,104765.58
Store_18,SKU_15,572,385,30407.78
Store_18,SKU_16,168,139,23327.59
Store_18,SKU_17,854,255,29296.69
Store_18,SKU_18,275,52,3429.32
Store_18,SKU_19,549,505,78317.98
Store_18,SKU_20,329,80,14000.71
Store_19,SKU_1,681,58,10437.97
Store_19,SKU_2,177,113,1612.42
Store_19,SKU_3,575,520,58713.46
Store_19,SKU_4,286,280,16519.62
Store_19,SKU_5,807,277,46712.38
Store_19,SKU_6,53,25,2747.03
Store_19,SKU_7,158,97,5988.62
Store_19,SKU_8,124,69,12676.46
Store_19,SKU_9,902,41,4901.06
Store_19,SKU_10,983,33,3804.7
Store_19,SKU_11,202,121,17767.46
Store_19,SKU_12,678,341,12278.82
Store_19,SKU_13,874,286,50347.19
Store_19,SKU_14,217,97,12037.53
Store_19,SKU_15,870,454,53992.37
Store_19,SKU_16,450,409,35514.49
Store_19,SKU_17,751,633,57088.28
Store_19,SKU_18,179,53,7962.0
Store_19,SKU_19,868,692,86222.44
Store_19,SKU_20,843,28,2351.05
Store_20,SKU_1,345,10,775.78
Store_20,SKU_2,162,38,4787.12
Store_20,SKU_3,359,97,8280.25
Store_20,SKU_4,713,405,60421.42
Store_20,SKU_5,338,249,3965.27
Store_20,SKU_6,197,80,8344.77
Store_20,SKU_7,414,200,31294.66
Store_20,SKU_8,550,72,1747.88
Store_20,SKU_9,66,0,0.0
Store_20,SKU_10,988,615,56959.57
Store_20,SKU_11,88,34,5631.4
Store_20,SKU_12,278,107,15193.18
Store_20,SKU_13,527,101,12336.53
Store_20,SKU_14,324,100,2740.06
Store_20,SKU_15,866,16,3048.72
Store_20,SKU_16,872,496,22406.93
Store_20,SKU_17,367,79,13892.92
Store_20,SKU_18,825,660,101783.1
Store_20,SKU_19,534,373,48890.6
Store_20,SKU_20,249,24,4359.34
Store_21,SKU_1,317,142,20121.87
Store_21,SKU_2,538,537,9392.72
Store_21,SKU_3,827,15,2786.96
Store_21,SKU_4,968,793,93502.31
Store_21,SKU_5,299,269,8849.91
Store_21,SKU_6,568,136,6336.76
Store_21,SKU_7,889,497,44797.05
Store_21,SKU_8,526,222,38580.96
Store_21,SKU_9,984,401,43814.29
Store_21,SKU_10,664,272,36320.65
Store_21,SKU_11,201,107,3521.12
Store_21,SKU_12,147,130,18498.33
Store_21,SKU_13,985,182,15807.11
Store_21,SKU_14,88,14,2278.58
Store_21,SKU_15,565,348,47228.64
Store_21,SKU_16,446,209,22745.88
Store_21,SKU_17,542,425,75040.73
Store_21,SKU_18,499,310,30308.43
Store_21,SKU_19,595,413,4148.64
Store_21,SKU_20,830,140,11613.44
Store_22,SKU_1,657,38,448.48
Store_22,SKU_2,78,61,1636.22
Store_22,SKU_3,367,244,24682.66
Store_22,SKU_4,321,235,46289.33
Store_22,SKU_5,315,64,3543.53
Store_22,SKU_6,52,44,3404.64
Store_22,SKU_7,719,323,47143.51
Store_22,SKU_8,342,152,9527.43
Store_22,SKU_9,998,974,88903.7
Store_22,SKU_10,866,343,11539.6
Store_22,SKU_11,236,36,5738.6
Store_22,SKU_12,988,379,33859.99
Store_22,SKU_13,489,318,60260.71
Store_22,SKU_14,60,12,2375.34
Store_22,SKU_15,760,563,12581.6
Store_22,SKU_16,633,574,30885.88
Store_22,SKU_17,292,106,4615.27
Store_22,SKU_18,267,240,46051.52
Store_22,SKU_19,937,773,125339.04
Store_22,SKU_20,103,46,2350.67
Store_23,SKU_1,570,98,12101.24
Store_23,SKU_2,802,572,34002.16
Store_23,SKU_3,468,177,18288.6
Store_23,SKU_4,194,2,330.02
Store_23,SKU_5,830,119,18099.38
Store_23,SKU_6,138,72,12962.53
Store_23,SKU_7,406,97,9400.47
Store_23,SKU_8,372,122,4222.16
Store_23,SKU_9,698,194,37165.31
Store_23,SKU_10,381,169,27683.56
Store_23,SKU_11,89,24,2751.91
Store_23,SKU_12,275,123,9939.73
Store_23,SKU_13,377,250,36862.46
Store_23,SKU_14,651,453,87339.84
Store_23,SKU_15,737,592,12839.44
Store_23,SKU_16,350,223,24096.27
Store_23,SKU_17,164,66,5021.53
Store_23,SKU_18,915,39,4582.07
Store_23,SKU_19,798,288,50958.63
Store_23,SKU_20,196,79,10673.36
Store_24,SKU_1,402,58,10137.58
Store_24,SKU_2,730,362,20037.1
Store_24,SKU_3,742,169,5088.33
Store_24,SKU_4,716,421,19345.83
Store_24,SKU_5,182,44,7728.61
Store_24,SKU_6,80,22,241.51
Store_24,SKU_7,721,362,19344.84
Store_24,SKU_8,600,81,13398.51
Store_24,SKU_9,767,588,62574.3
Store_24,SKU_10,344,223,5793.24
Store_24,SKU_11,716,112,13033.49
Store_24,SKU_12,409,222,18109.01
Store_24,SKU_13,497,343,56783.34
Store_24,SKU_14,375,73,6725.18
Store_24,SKU_15,880,411,53511.44
Store_24,SKU_16,271,36,1061.17
Store_24,SKU_17,245,147,20682.65
Store_24,SKU_18,291,218,9071.36
Store_24,SKU_19,573,400,48244.95
Store_24,SKU_20,754,21,2687.45
Store_25,SKU_1,259,191,26443.94
Store_25,SKU_2,765,675,89801.32
Store_25,SKU_3,997,380,31496.81
Store_25,SKU_4,78,10,1660.87
Store_25,SKU_5,928,78,12914.4
Store_25,SKU_6,508,57,581.15
Store_25,SKU_7,531,429,42480.65
Store_25,SKU_8,565,98,9384.83
Store_25,SKU_9,88,14,2254.19
Store_25,SKU_10,206,74,3844.02
Store_25,SKU_11,179,174,24237.31
Store_25,SKU_12,71,26,4548.19
Store_25,SKU_13,431,235,3747.65
Store_25,SKU_14,70,46,4128.42
Store_25,SKU_15,133,5,772.09
Store_25,SKU_16,502,386,26738.56
Store_25,SKU_17,619,526,79798.95
Store_25,SKU_18,212,63,11021.43
Store_25,SKU_19,841,523,61150.5
Store_25,SKU_20,541,207,23435.35
Store_26,SKU_1,109,45,2191.65
Store_26,SKU_2,654,308,12072.07
Store_26,SKU_3,76,45,4984.53
